DateLabel;Tour;Tournament;Surface;Time;Player 1;Player 2
Today;ATP;Chengdu (China);hard;FINISHED;Griekspoor T.;Shapovalov D.
Today;ATP;Chengdu (China);hard;FINISHED;Cina F.;Ugo Carabelli C.
Today;ATP;Chengdu (China);hard;FINISHED;Duckworth J.;Sonego L.
Today;ATP;Chengdu (China);hard;SET 1;Kecmanovic M.;Basilashvili N.
Today;ATP;Chengdu (China);hard;SET 1;Shang J.;Mannarino A.
Today;ATP;Chengdu (China);hard;SET 1;Kouame M.;Muller A.
Today;ATP;Chengdu (China);hard;12:25;Harris L.;Kovacevic A.
Today;ATP;Chengdu (China);hard;12:30;Shevchenko A.;Hurkacz H.
Today;ATP;Chengdu (China);hard;12:50;Damm M.;Mochizuki S.
Today;ATP;Chengdu (China);hard;14:00;Cerundolo J. M.;Zhou Y.
Today;ATP;Hangzhou (China);hard;FINISHED;Shimabukuro S.;Gaston H.
Today;ATP;Hangzhou (China);hard;FINISHED;Sweeny D.;Daniel T.
Today;ATP;Hangzhou (China);hard;FINISHED;Faria J.;Atmane T.
Today;ATP;Hangzhou (China);hard;FINISHED;Marozsan F.;Bolt A.
Today;ATP;Hangzhou (China);hard;FINISHED;Hijikata R.;Svrcina D.
Today;ATP;Hangzhou (China);hard;SET 2;Bu Y.;Zheng M.
Today;ATP;Hangzhou (China);hard;SET 2;Bellucci M.;Majchrzak K.
Today;ATP;Hangzhou (China);hard;12:00;Cui J.;Vallejo D.
Today;ATP;Hangzhou (China);hard;12:00;Sun F.;Safiullin R.
Today;ATP;Hangzhou (China);hard;14:00;Zhang Z.;Wong C.
Today;WTA;Hangzhou (China);hard;FINISHED;Kalinina A.;Otzipka J.
Today;WTA;Hangzhou (China);hard;FINISHED;Svitolina E.;Minnen G.
Today;WTA;Hangzhou (China);hard;11:45;Cocciaretto E.;Zhang S.
Today;WTA;Hangzhou (China);hard;13:15;Paolini J.;Zheng Q.
Today;WTA;Seoul (South Korea);hard;FINISHED;Bondar A.;Charaeva A.
Today;WTA;Seoul (South Korea);hard;FINISHED;Ma Y.;Birrell K.
Today;WTA;Seoul (South Korea);hard;FINISHED;Ku Y.;Ruse G.
Today;WTA;Seoul (South Korea);hard;FINISHED;Ostapenko J.;Preston T.
Today;WTA;Singapore (Singapore);hard;FINISHED;Gibson T.;Morvayova V.
Today;WTA;Singapore (Singapore);hard;FINISHED;Wang Xin.;Garland J.
Today;WTA;Singapore (Singapore);hard;12:30;Prozorova T.;Eala A.
Today;WTA;Singapore (Singapore);hard;14:00;Sakkari M.;Hibino N.
Today;ATP;Buenos Aires 3 (Argentina);clay;FINISHED;Comesana F.;Aguilar Cardozo J.
Today;ATP;Buenos Aires 3 (Argentina);clay;17:00;Roncadelli F.;Boscardin Dias P.
Today;ATP;Buenos Aires 3 (Argentina);clay;19:30;Coria F.;Ribeiro E.
Today;ATP;Buenos Aires 3 (Argentina);clay;21:00;Ficovich J. P.;Barrena A.
Today;ATP;Buenos Aires 3 (Argentina);clay;23:00;Prado Angelo J. C.;Aboian V.
Today;ATP;Genova 2 (Italy);clay;13:00;Brancaccio R.;Petkovic M.
Today;ATP;Genova 2 (Italy);clay;14:30;Forti F.;Juan Mano A.
Today;ATP;Genova 2 (Italy);clay;16:00;Clarke J.;La Vela G.
Today;ATP;Genova 2 (Italy);clay;20:00;Caniato C. A.;Gentzsch T.
Today;ATP;Plovdiv 4 (Bulgaria);clay;12:00;Almazan Valiente I.;Mrva M.
Today;ATP;Plovdiv 4 (Bulgaria);clay;12:00;Ivanov I.;Andreev A.
Today;ATP;Plovdiv 4 (Bulgaria);clay;15:00;Forejtek J.;Chazal M.
Today;ATP;Plovdiv 4 (Bulgaria);clay;16:00;Gill F.;Radulov I.
Today;ATP;San Diego 2 (USA);hard;FINISHED;Smith K.;Dietrich D.
Today;ATP;San Diego 2 (USA);hard;21:00;Boyer T.;Gorzny S.
Today;ATP;San Diego 2 (USA);hard;21:00;Legout T.;Smith C.
Today;ATP;San Diego 2 (USA);hard;22:30;Blanch Dar.;Andrade A.
Today;ATP;St. Tropez (France);hard;SET 1;Harris B.;Cassone M.
Today;ATP;St. Tropez (France);hard;12:05;Martineau M.;Masur D.
Today;ATP;St. Tropez (France);hard;13:35;Butvilas E.;Mayot H.
Today;ATP;St. Tropez (France);hard;17:30;Guerrieri A.;De Jong J.
Today;WTA;Ankara (Turkey);hard;SET 1;Kostovic T.;Bertea E. R.
Today;WTA;Ankara (Turkey);hard;SET 1;Monnet C.;Gasanova A.
Today;WTA;Ankara (Turkey);hard;SET 1;Tian F.;Micic E.
Today;WTA;Ankara (Turkey);hard;16:00;Dilek D.;Buyukakcay C.
Today;WTA;Porto (Portugal);hard;12:00;Podrez V.;Pohankova M.
Today;WTA;Porto (Portugal);hard;13:30;Bains N.;Brantmeier R.
Today;WTA;Porto (Portugal);hard;14:00;Voloshchuk A.;Tan H.
Today;WTA;Porto (Portugal);hard;15:30;Steiner V.;Swan K.
Today;WTA;Tolentino (Italy);clay;12:35;Tubello A.;Grabher J.
Today;WTA;Tolentino (Italy);clay;14:05;Gorgodze E.;Palicova B.
Today;WTA;Tolentino (Italy);clay;17:30;De Stefano S.;Selekhmeteva O.
Today;WTA;Tolentino (Italy);clay;19:30;Erjavec V.;Brancaccio N.
Today;WTA;W35 Santa Margherita di Pula 8 (Italy);clay;FINISHED;Kovackova A.;Pistola I.
Today;WTA;W35 Santa Margherita di Pula 8 (Italy);clay;SET 2;Valente D.;Petkovic A.
Today;WTA;W35 Santa Margherita di Pula 8 (Italy);clay;SET 2;Paganetti V.;Longueville R.
Today;WTA;W35 Santa Margherita di Pula 8 (Italy);clay;SET 2;Steur J. L. S.;Mettraux M.
Today;WTA;W35 Santa Margherita di Pula 8 (Italy);clay;FINISHED;Yesypchuk D.;Oktiabreva A.
Today;WTA;W35 Santa Margherita di Pula 8 (Italy);clay;11:00;Ferro G.;Gennaro C.
Today;WTA;W35 Santa Margherita di Pula 8 (Italy);clay;SET 1;Horvit M.;Colmegna M.
Today;WTA;W35 Santa Margherita di Pula 8 (Italy);clay;11:35;Lukas T.;Cakarevic S.
Today;WTA;W35 Sharm ElSheikh 2 (Egypt);hard;SET 3;Pawlikowska Z.;Smirnova K.
Today;WTA;W35 Sharm ElSheikh 2 (Egypt);hard;FINISHED;Perelygina E.;Hrabavets U.
Today;WTA;W35 Sharm ElSheikh 2 (Egypt);hard;FINISHED;Hatouka Y.;Efremova K.
Today;WTA;W35 Sharm ElSheikh 2 (Egypt);hard;FINISHED;Jamshidi E.;Adeshina E.
Today;WTA;W35 Sharm ElSheikh 2 (Egypt);hard;SET 1;Milovanova V.;Sacco F.
Today;WTA;W35 Sharm ElSheikh 2 (Egypt);hard;SET 1;Sedysheva A.;Guth M.
Today;WTA;W35 Sharm ElSheikh 2 (Egypt);hard;11:35;Lizunova A.;Samir S.
Today;WTA;W35 Sharm ElSheikh 2 (Egypt);hard;12:00;Abouelsaad H.;Golovina M.
Today;WTA;W50 Berkeley, CA (USA);hard;FINISHED;Branstine C.;Osuigwe W.
Today;WTA;W50 Berkeley, CA (USA);hard;FINISHED;Shcherbinina A.;Strakhova V.
Today;WTA;W50 Berkeley, CA (USA);hard;19:00;Brengle M.;Maklakova E.
Today;WTA;W50 Berkeley, CA (USA);hard;19:00;Preston J.;Ma C.
Today;WTA;W50 Berkeley, CA (USA);hard;20:00;Perez Alarcon L.;Goto R.
Today;WTA;W50 Berkeley, CA (USA);hard;20:30;Chang H.;Shcherbinina A.
Today;WTA;W50 Berkeley, CA (USA);hard;20:30;McDonald E.;Broadus S.
Today;WTA;W50 Berkeley, CA (USA);hard;21:30;Malmkjaer E. K.;Branstine C.
Today;WTA;W50 Berkeley, CA (USA);hard;22:00;Bartashevich Y.;Rogers A. S.
Today;WTA;W50 Berkeley, CA (USA);hard;22:00;Day K.;Laskevich E.
Today;WTA;W50 Nanao (Japan);grass;FINISHED;Itaya R.;Hayasaka K.
Today;WTA;W50 Nanao (Japan);grass;FINISHED;Lu J.;Deng T. T.
Today;WTA;W50 Nanao (Japan);grass;FINISHED;Sawashiro K.;Abe H.
Today;WTA;W50 Nanao (Japan);grass;FINISHED;Uemura M.;Sato H.
Today;WTA;W50 Nanao (Japan);grass;FINISHED;Shimizu E.;Onozawa N.
Today;WTA;W50 Nanao (Japan);grass;FINISHED;Hosogi S.;Matsuda R.
